rank,name3,count,length
0,park,693,4
1,railway,681,7
2,george,551,6
3,church,497,6
4,victoria,492,8
5,william,484,7
6,king,443,4
7,elizabeth,434,9
8,james,426,5
9,north,405,5
10,short,395,5
11,thomas,395,6
12,albert,394,6
13,mitchell,387,8
14,wattle,384,6
15,smith,376,5
16,high,375,4
17,station,365,7
18,murray,359,6
19,charles,359,7
20,john,344,4
21,hill,338,4
22,campbell,337,8
23,west,337,4
24,south,335,5
25,gordon,327,6
26,wilson,325,6
27,scott,322,5
28,acacia,312,6
29,banksia,308,7
30,east,303,4
31,river,301,5
32,edward,300,6
33,martin,300,6
34,first,297,5
35,main,296,4
36,mary,289,4
37,boundary,286,8
38,queen,285,5
39,second,280,6
40,arthur,278,6
41,henry,277,5
42,anderson,275,8
43,taylor,272,6
44,pine,270,4
45,rose,268,4
46,russell,260,7
47,margaret,259,8
48,stanley,258,7
49,williams,256,8
50,cemetery,256,8
51,moore,248,5
52,jones,247,5
53,collins,246,7
54,francis,244,7
55,hamilton,244,8
56,young,242,5
57,ross,237,4
58,bridge,237,6
59,third,235,5
60,douglas,235,7
61,cameron,233,7
62,hall,231,4
63,walker,229,6
64,alexander,228,9
65,nelson,227,6
66,evans,227,5
67,waratah,225,7
68,brown,221,5
69,school,221,6
70,hunter,220,6
71,flinders,218,8
72,view,218,4
73,clarke,217,6
74,pacific,217,7
75,hume,215,4
76,thompson,214,8
77,bruce,213,5
78,stewart,211,7
79,cook,210,4
80,bell,209,4
81,lewis,209,5
82,cedar,209,5
83,kent,207,4
84,david,205,5
85,oak,204,3
86,mill,203,4
87,forest,202,6
88,white,199,5
89,robinson,197,8
90,graham,197,6
91,watson,196,6
92,miller,195,6
93,boronia,194,7
94,alfred,192,6
95,green,190,5
96,york,190,4
97,roberts,189,7
98,harris,189,6
99,fourth,188,6
100,cross,185,5
101,lawson,183,6
102,beach,181,5
103,fraser,181,6
104,willow,178,6
105,johnson,178,7
106,grant,177,5
107,hughes,176,6
108,fifth,175,5
109,elm,175,3
110,norman,173,6
111,garden,173,6
112,wood,172,4
113,swan,172,4
114,spring,171,6
115,morris,170,6
116,oxford,170,6
117,howard,170,6
118,kennedy,169,7
119,cooper,169,6
120,wellington,168,10
121,baker,167,5
122,maple,167,5
123,davis,166,5
124,gregory,166,7
125,turner,166,6
126,simpson,166,7
127,palmer,165,6
128,mcdonald,165,8
129,gray,164,4
130,jackson,164,7
131,cambridge,164,9
132,wallace,163,7
133,dawson,162,6
134,princes,162,7
135,fisher,162,6
136,kelly,162,5
137,sunset,161,6
138,spencer,161,7
139,may,161,3
140,florence,161,8
141,robert,161,6
142,stuart,159,6
143,quarry,159,6
144,lindsay,158,7
145,bennett,157,7
146,davies,156,6
147,herbert,156,7
148,ryan,155,4
149,frederick,154,9
150,wright,153,6
151,robertson,153,9
152,ocean,153,5
153,reid,152,4
154,oxley,152,5
155,kurrajong,152,9
156,grevillea,152,9
157,palm,151,4
158,myrtle,151,6
159,wentworth,151,9
160,harvey,150,6
161,windsor,150,7
162,marshall,150,8
163,jacaranda,150,9
164,parker,149,6
165,racecourse,149,10
166,richardson,148,10
167,morgan,148,6
168,alice,147,5
169,hope,146,4
170,adams,146,5
171,armstrong,146,9
172,phillip,145,7
173,riverview,145,9
174,stirling,144,8
175,barton,144,6
176,blackwood,144,9
177,cypress,144,7
178,lake,143,4
179,seaview,142,7
180,sixth,141,5
181,ash,141,3
182,andrew,141,6
183,edwards,141,7
184,sturt,140,5
185,pioneer,140,7
186,duke,140,4
187,chapman,140,7
188,regent,138,6
189,market,138,6
190,olive,138,5
191,coral,138,5
192,hakea,138,5
193,orchard,138,7
194,hillcrest,137,9
195,esplanade,137,9
196,panorama,137,8
197,clifton,136,7
198,reserve,136,7
199,argyle,136,6
200,gibson,136,6
201,ford,135,4
202,lincoln,135,7
203,gladstone,135,9
204,forrest,135,7
205,allen,135,5
206,macquarie,134,9
207,burns,134,5
208,central,134,7
209,churchill,134,9
210,casuarina,134,9
211,glen,134,4
212,ward,134,4
213,hillview,133,8
214,kingfisher,133,10
215,wills,132,5
216,melaleuca,132,9
217,bourke,132,6
218,clarence,132,8
219,union,132,5
220,ridge,132,5
221,webb,131,4
222,mckenzie,130,8
223,lawrence,130,8
224,rosella,129,7
225,bayview,129,7
226,heath,128,5
227,henderson,128,9
228,ellis,128,5
229,leslie,128,6
230,franklin,128,8
231,vista,128,5
232,alexandra,127,9
233,adelaide,127,8
234,cunningham,127,10
235,bass,126,4
236,carrington,126,10
237,grandview,126,9
238,bowen,125,5
239,richmond,125,8
240,hillside,125,8
241,fitzroy,124,7
242,fairway,124,7
243,western,124,7
244,woodlands,124,9
245,burke,124,5
246,emerald,123,7
247,harrison,123,8
248,butler,123,6
249,vincent,123,7
250,nicholson,123,9
251,grace,123,5
252,kookaburra,122,10
253,sutherland,122,10
254,lee,121,3
255,norfolk,121,7
256,bellevue,121,8
257,sydney,120,6
258,heron,120,5
259,bond,120,4
260,walter,119,6
261,knight,119,6
262,prince,119,6
263,donald,119,6
264,alma,118,4
265,somerset,118,8
266,devon,118,5
267,balmoral,118,8
268,lloyd,118,5
269,riverside,118,9
270,johnston,118,8
271,duncan,118,6
272,sherwood,117,8
273,leonard,117,7
274,salisbury,117,9
275,mills,117,5
276,warren,117,6
277,austin,117,6
278,archer,116,6
279,lakeside,116,8
280,eagle,116,5
281,fern,116,4
282,murphy,116,6
283,birch,115,5
284,mason,115,5
285,browns,115,6
286,college,115,7
287,clark,114,5
288,scenic,114,6
289,maxwell,114,7
290,kings,114,5
291,catherine,114,9
292,bay,114,3
293,kingston,113,8
294,ferguson,113,8
295,phillips,113,8
296,shaw,113,4
297,raymond,112,7
298,cassia,112,6
299,walsh,112,5
300,lyons,112,5
301,anzac,112,5
302,royal,112,5
303,monash,112,6
304,dudley,111,6
305,heather,111,7
306,crown,111,5
307,wells,111,5
308,endeavour,111,9
309,anne,111,4
310,richards,111,8
311,prospect,110,8
312,newton,110,6
313,darling,110,7
